ann_date;next_day;Sentiment
2017-10-26;2017-10-27;Negative
2017-07-27;2017-07-28;Negative
2017-04-27;2017-04-28;Positive
2017-02-02;2017-02-03;Positive
2016-10-27;2016-10-28;Negative
2016-07-28;2016-07-29;Positive
2016-04-28;2016-04-29;Positive
2016-01-28;2016-01-29;Negative
2015-10-22;2015-10-23;Positive
2015-07-23;2015-07-24;Positive
2015-04-23;2015-04-24;Positive
2015-01-29;2015-01-30;Positive
2014-10-23;2014-10-24;Negative
2014-07-24;2014-07-25;Negative
2014-04-24;2014-04-25;Positive
2014-01-30;2014-01-31;Negative
2013-10-24;2013-10-25;Positive
2013-07-25;2013-07-26;Negative
2013-04-25;2013-04-26;Positive
2013-01-29;2013-01-30;Negative
2012-10-25;2012-10-26;Negative
2012-07-26;2012-07-27;Positive
2012-04-26;2012-04-27;Positive
2012-01-31;2012-02-01;Positive
2011-10-25;2011-10-26;Negative
2011-07-26;2011-07-27;Positive
2011-04-26;2011-04-27;Negative
2011-01-27;2011-01-28;Positive
2010-10-21;2010-10-22;Positive
2010-07-22;2010-07-23;Negative
2010-04-22;2010-04-23;Positive
2010-01-28;2010-01-29;Positive
2009-10-22;2009-10-23;Positive
2009-07-23;2009-07-24;Positive
2009-04-23;2009-04-24;Positive
2009-01-29;2009-01-30;Positive
2008-10-22;2008-10-23;Positive
2008-07-23;2008-07-24;Positive
2008-04-23;2008-04-24;Positive
2008-01-30;2008-01-31;Positive
2007-10-24;2007-10-25;Positive
2007-07-25;2007-07-26;Positive
2007-04-24;2007-04-25;Positive
2007-02-02;2007-02-03;Negative
2006-10-24;2006-10-25;Positive
2006-07-25;2006-07-26;Positive
2006-04-25;2006-04-26;Positive
2006-02-02;2006-02-03;Negative
